"rank","slug","source","n_jobs","top_titles","sample_description"
"66","inspire11","greenhouse","16","ML Engineering Consultant | AI/ML Consultant | Data Analyst | Data Analytics Consultant (Sr.) | Data Architect","Solution Analyst - Inspire11 &nbsp; Elevens, as we call ourselves here, are curiously smart, purposefully scrappy, and dedicated to the highest standard of quality. By being true to ourselves and others, we create a respectful environment that enhances collaboration, drives growth through&nbsp;high expectations, and ensures alignment with our core values. Inspire11 is more than a modern business a"
"67","junior","ashby","16","Full Stack Engineer | Lead Designer | Lead Applied AI Engineer | AI Deployment Lead - London | Senior Backend Engineer - London","👶 About Junior We're building cutting-edge LLM-powered tools that supercharge investment research for the world's most demanding deal teams. Our clients include several of the top 10 global private equity firms, Big 4 professional services firms, and leading consulting practices: organisations responsible for deploying billions of dollars annually. We're a profitable, bootstrapped company with a g"
"68","maybern","ashby","16","Software Engineer, Scenario Modeling | Implementation Analyst | Implementation Manager | Account Executive - Enterprise | Sales Development Representative","Who We Are Maybern is transforming the way private fund managers effectively manage their funds through cutting edge technology. Maybern is founded by top engineering experts with deep knowledge of the fund management space. Private funds manage $15T in capital and are growing at 20% YoY, but with increasing regulatory scrutiny and investor demands for transparency, the need for world class softwa"
"69","mudflap","ashby","16","Senior Strategic Operations Manager | Compliance Officer | Revenue Operations | Senior Data Scientist | Senior Engineering Manager","Mudflap serves the $800B trucking industry, the backbone of the U.S. economy. Our market-leading payment products help truckers save thousands of dollars on fuel (their #1 business expense), while providing our fuel stop partners with access to new, hard-to-reach customers. We’re a fast-growing marketplace business looking for a new customer-obsessed teammate to join us on this exciting journey. A"
"70","optima-bio-supply-ltd","linkedin","16","data Entry | Data entry | Data Entry Clerk | data entry. | Data Entry Clerk","Optima Bio Supply LLC is a dynamic and innovative sales company that values efficiency, accuracy, and attention to detail. We are currently seeking a Remote Data Entry Clerk to join our growing team. This is an excellent opportunity for individuals looking to kickstart their career in data management and administration. Responsibilities:Accurately enter and update data in our database systems.Perf"
"71","porter-group","linkedin","16","Territory Sales Executive | Outside Sales Executive | Inside Sales Representative | Sales Director | Corporate Account Manager","Industry | Industrial - Construction EquipmentLocation | Hunt Valley, MDSalary | $60,000First Year Potential | $75,000Benefits | Health, Dental, Optical, 401K, Car AllowanceReference | 012756 Job SummaryBuilding products manufacturer is looking for an experienced industrial sales representative to sell within their “trade division”. This person will call on the contractor market (small home builde"
"72","reflow","ashby","16","Forward Deployed Data Analyst | Founding Enterprsie Account Executive | GTM | Customer Success Manager | Product Operations","We’re building Reflow, a workforce and workflow intelligence platform that helps teams understand and improve how work gets done. Partners light up after the first demo; now we need someone who can turn that spark into repeatable growth. You’ll own Reflow’s go-to-market engine: Strategy, execution, and everything in between. What you’ll do Define and execute the go-to-market strategy across segmen"
"73","rock-maestro-sdn-bhd","jobstreet","16","Purchasing Executive | Procurement Executive | Admin Officer | Admin Executive | ADMIN OFFCER","[Category: Accounting / Bookkeeping & Small Practice Accounting] Job Description: • Maintaining customer accounts • Generating invoices from Autocount • Raising and sending invoices to customers • Posting payments to customer accounts • Collecting payments • Matching payments to invoice numbers • Posting receipts in a timely manner • Securing revenue • Tracking overdue invoices and following up on"
"74","biggie","lever","15","Assistant.e Communication & Marketing Manager - Stage (H/F/X) | Chef de projet SI Finance - Alternance (H/F/X) | Consultant SEA/SMA - Junior (H/F/X) | Country Opener Influence - Belgium (M/F/X) | Country Opener Influence - Italy (M/F/X)","Biggie est un groupe de conseil en communication, né de la fusion de l’agence média Repeat, du trading desk Gamned!, du studio de création vidéo Kazam et de l’agence en stratégie d’influence Beastly. Comprenant 300 collaborateurs et des filiales dans de nombreux pays (France, Belgique, Suisse, Italie, République Tchèque, Emirats Arabes Unis, Brésil…), le groupe s’appuie sur sa capacité à fédérer l"
"75","lightfield","ashby","15","Machine Learning Engineer | Machine Learning Engineer, Applied Research and Model Development | Machine Learning Engineer, GenAI Platform | Software Engineer, Infrastructure | Full Stack Engineer, Product & Systems","About Lightfield Lightfield is an AI-native CRM that assembles itself from your email, calendar, and meetings. It captures every interaction and turns it into organized context: accounts, tasks, follow-ups, and insights, so nothing slips through the cracks. We’re rethinking CRM from first principles. Instead of forcing teams to maintain rigid systems, Lightfield learns from how companies actually "
